Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:00:16.00,IMU,15.63,-7.81,-1018.55,2.39,0.51,0.05,83.25,52.50,74.40,25.4
2026/04/13 15:00:16.10,IMU,26.86,-16.60,-1018.55,0.21,1.11,-0.52,81.60,52.20,75.75,25.4
2026/04/13 15:00:16.20,IMU,18.07,-17.58,-1021.00,3.11,-0.13,0.97,82.65,52.65,75.00,25.6
2026/04/13 15:00:16.30,IMU,12.70,0.00,-1020.02,0.69,2.03,1.22,84.15,53.10,73.20,25.4
2026/04/13 15:00:16.40,IMU,23.93,-1.95,-1021.00,0.93,-0.19,0.88,83.70,54.00,74.85,25.2
2026/04/13 15:00:16.50,IMU,-0.49,-13.67,-1021.97,1.70,1.82,1.03,83.85,53.40,74.70,25.4
2026/04/13 15:00:16.60,IMU,8.79,-14.16,-1004.88,0.35,-1.60,1.10,81.75,54.30,74.40,25.4
2026/04/13 15:00:16.70,IMU,17.09,-13.18,-1010.74,0.34,-0.10,-1.82,83.40,54.90,74.25,25.5
2026/04/13 15:00:16.80,IMU,18.07,-4.39,-1010.74,1.04,1.46,2.08,82.20,52.80,73.80,25.2
2026/04/13 15:00:16.90,IMU,2.44,-8.30,-1015.14,2.05,0.35,0.58,82.95,53.55,74.40,25.6
2026/04/13 15:00:17.00,IMU,21.48,-14.16,-1013.67,1.87,0.10,1.15,82.05,53.40,74.70,25.4
2026/04/13 15:00:17.10,IMU,17.09,-23.93,-1016.11,1.54,3.17,0.47,83.85,53.85,73.95,25.5
2026/04/13 15:00:17.20,IMU,20.51,-19.53,-1023.44,0.62,0.58,1.63,83.40,53.40,75.30,25.4
2026/04/13 15:00:17.30,IMU,20.02,-14.65,-1011.72,1.22,-0.19,1.09,82.05,53.10,74.70,25.4
2026/04/13 15:00:17.40,IMU,12.70,-18.07,-1009.28,1.16,0.27,0.31,83.40,53.85,75.00,25.5
2026/04/13 15:00:17.50,IMU,4.39,-21.00,-1028.32,0.47,0.35,-0.71,83.25,53.25,76.20,25.4
2026/04/13 15:00:17.60,IMU,11.23,-7.81,-1009.77,-2.38,1.78,-2.40,84.60,54.15,73.50,25.4
2026/04/13 15:00:17.70,IMU,-2.44,-10.74,-1023.44,0.61,2.34,-0.63,80.85,53.40,74.70,25.4
2026/04/13 15:00:17.80,IMU,-8.79,-16.11,-1031.25,2.34,0.08,0.34,83.25,54.00,74.10,25.4
2026/04/13 15:00:17.90,IMU,22.46,-27.83,-1003.42,1.81,4.71,0.34,83.85,52.20,74.25,25.2
2026/04/13 15:00:18.01,IMU,3.91,-7.32,-1021.48,-0.40,1.09,0.59,83.70,54.00,73.35,25.4
2026/04/13 15:00:18.11,IMU,-2.93,-15.14,-1015.63,0.72,0.97,3.27,82.65,54.15,73.50,25.6
2026/04/13 15:00:18.21,IMU,8.79,-30.76,-1012.70,1.17,0.35,1.11,82.95,53.25,74.85,25.4
