Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:22:07.00,IMU,15.14,30.27,-1016.11,1.32,0.76,-0.06,6.90,-16.35,-33.45,25.3
2026/04/13 15:22:07.10,IMU,-5.86,26.86,-1019.53,1.55,1.92,-1.69,6.90,-16.35,-32.70,25.4
2026/04/13 15:22:07.20,IMU,-6.35,32.23,-1017.09,1.31,0.29,-1.46,5.10,-17.55,-32.10,25.4
2026/04/13 15:22:07.30,IMU,-9.28,39.06,-1024.41,1.81,0.18,0.69,6.75,-16.20,-30.75,25.2
2026/04/13 15:22:07.40,IMU,5.86,31.74,-1015.14,0.94,0.74,-0.49,8.55,-15.75,-29.70,25.3
2026/04/13 15:22:07.50,IMU,7.32,31.74,-1017.58,1.82,-0.75,2.17,6.60,-16.80,-30.90,25.2
2026/04/13 15:22:07.60,IMU,-1.46,29.30,-1014.65,1.16,0.78,0.52,6.00,-15.45,-32.25,25.4
2026/04/13 15:22:07.70,IMU,-8.30,22.46,-1008.79,1.76,2.67,-0.34,5.70,-16.95,-32.55,25.4
2026/04/13 15:22:07.80,IMU,-0.49,25.88,-1002.44,1.31,1.56,1.04,7.05,-15.45,-32.55,25.7
2026/04/13 15:22:07.90,IMU,-3.42,27.83,-1010.25,1.11,3.31,-1.19,6.75,-15.45,-31.50,25.4
2026/04/13 15:22:08.00,IMU,-3.42,40.53,-1021.00,4.15,0.67,0.56,7.05,-15.45,-32.25,25.4
2026/04/13 15:22:08.10,IMU,-0.49,22.46,-1003.42,0.44,0.94,1.12,6.00,-14.25,-33.00,25.1
2026/04/13 15:22:08.20,IMU,5.37,31.74,-1021.00,0.65,3.18,1.73,6.60,-16.35,-32.40,25.4
2026/04/13 15:22:08.30,IMU,5.37,32.71,-1010.74,1.76,0.73,-1.89,6.60,-16.35,-30.30,25.3
2026/04/13 15:22:08.40,IMU,-3.91,33.69,-1019.04,-0.47,1.36,0.63,6.90,-15.15,-32.10,25.4
