Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/15 16:13:06.00,IMU,44.43,18.07,-982.42,2.02,2.30,13.32,61.35,62.55,-90.45,26.9
2026/04/15 16:13:06.10,IMU,-15.63,56.15,-1029.79,0.29,-1.77,10.83,59.85,63.30,-90.90,27.3
2026/04/15 16:13:06.20,IMU,-38.09,53.22,-1027.83,2.61,1.68,10.06,59.70,62.40,-90.00,27.3
2026/04/15 16:13:06.30,IMU,-0.49,50.29,-1009.77,-0.39,-1.23,6.03,60.60,62.55,-90.90,27.0
2026/04/15 16:13:06.40,IMU,-14.16,72.27,-1014.16,1.92,2.71,5.35,59.70,61.20,-89.55,27.2
2026/04/15 16:13:06.50,IMU,-29.30,37.60,-1034.67,6.67,4.27,5.81,61.80,61.50,-92.70,27.1
2026/04/15 16:13:06.60,IMU,12.21,3.42,-1003.91,-5.55,-2.98,6.36,60.75,60.90,-91.05,27.2
2026/04/15 16:13:06.70,IMU,-4.88,82.03,-1016.11,-3.99,-3.62,7.53,61.05,61.80,-90.15,27.3
2026/04/15 16:13:06.80,IMU,-46.88,74.71,-1052.25,11.57,-1.07,6.31,60.30,61.80,-91.20,26.8
2026/04/15 16:13:06.90,IMU,-7.32,44.92,-1000.98,7.73,3.35,6.85,60.75,60.45,-91.05,27.2
2026/04/15 16:13:07.00,IMU,19.53,42.97,-1039.55,7.44,-3.27,1.85,60.75,60.90,-90.30,27.3
2026/04/15 16:13:07.10,IMU,-72.75,42.48,-1014.16,-5.65,-9.38,-15.80,61.50,61.20,-90.75,27.0
2026/04/15 16:13:07.20,IMU,-21.97,142.09,-996.09,-4.12,8.47,-18.43,59.85,61.05,-90.90,27.2
2026/04/15 16:13:07.30,IMU,-8.30,106.45,-1056.64,10.45,10.47,-22.53,58.95,61.20,-90.00,27.0
2026/04/15 16:13:07.40,IMU,-19.53,60.06,-1026.86,2.84,1.60,-15.69,59.55,61.05,-89.40,27.5
2026/04/15 16:13:07.51,IMU,29.30,40.53,-969.73,1.69,-5.30,-3.15,59.70,61.65,-89.55,27.0
2026/04/15 16:13:07.61,IMU,29.79,56.64,-1041.99,-3.95,-1.34,11.02,60.75,62.40,-90.00,27.2
2026/04/15 16:13:07.71,IMU,-39.06,54.20,-1023.44,-8.53,-4.59,12.60,61.20,61.95,-90.00,27.1
2026/04/15 16:13:07.81,IMU,-62.01,36.13,-1026.86,-3.66,-2.95,0.31,61.20,63.15,-89.25,27.5
2026/04/15 16:13:07.91,IMU,-54.69,56.15,-1013.67,-13.56,4.67,-8.23,61.80,63.75,-90.45,26.9
2026/04/15 16:13:08.01,IMU,34.67,142.58,-1018.07,-1.71,15.85,-5.01,60.75,64.65,-90.75,27.3
2026/04/15 16:13:08.11,IMU,31.74,12.70,-1022.46,12.00,5.92,5.90,60.75,62.40,-88.95,27.0
2026/04/15 16:13:08.21,IMU,-25.88,37.11,-1003.42,-7.10,-6.81,20.11,60.75,62.70,-89.55,27.2
2026/04/15 16:13:08.31,IMU,-22.95,131.35,-1039.55,0.08,-8.20,23.92,59.40,61.20,-89.55,27.2
2026/04/15 16:13:08.41,IMU,-46.39,51.27,-980.47,6.72,-1.95,17.90,61.35,61.80,-91.65,26.8
2026/04/15 16:13:08.51,IMU,-59.57,94.24,-1025.39,-10.89,8.79,1.18,60.45,61.65,-89.25,27.2
2026/04/15 16:13:08.61,IMU,-24.90,85.94,-1001.46,4.86,6.98,-4.56,60.60,61.50,-89.10,27.2
2026/04/15 16:13:08.71,IMU,-11.72,40.53,-987.30,-3.76,2.95,-8.44,61.20,61.20,-88.95,27.4
2026/04/15 16:13:08.81,IMU,40.53,139.65,-1032.23,-2.65,4.08,2.34,60.15,61.65,-89.55,27.3
2026/04/15 16:13:08.91,IMU,-30.27,47.85,-971.19,-1.23,-1.07,6.28,61.05,62.25,-89.40,27.1
2026/04/15 16:13:09.01,IMU,-23.93,121.58,-1032.23,-1.76,-4.78,12.20,61.20,61.20,-89.55,27.1
2026/04/15 16:13:09.11,IMU,-8.30,89.84,-1010.25,6.41,-4.76,6.40,61.35,61.05,-89.85,27.3
2026/04/15 16:13:09.21,IMU,-35.64,84.47,-998.05,1.99,4.44,-0.97,61.50,60.45,-90.00,27.5
2026/04/15 16:13:09.31,IMU,-40.04,141.60,-1037.60,4.14,-0.87,-10.24,61.05,59.55,-89.85,27.5
2026/04/15 16:13:09.41,IMU,-25.88,51.76,-987.79,7.35,3.53,-14.79,61.35,60.60,-88.35,27.0
2026/04/15 16:13:09.51,IMU,25.39,127.93,-1021.97,1.53,4.73,-13.29,61.35,61.05,-89.85,27.4
2026/04/15 16:13:09.61,IMU,-27.34,104.98,-996.58,-0.52,4.68,-7.40,60.45,60.90,-89.55,27.2
2026/04/15 16:13:09.71,IMU,0.00,104.98,-999.51,4.61,-4.04,3.72,58.80,61.80,-88.65,27.1
2026/04/15 16:13:09.81,IMU,-0.49,94.24,-1031.25,-2.91,-5.61,9.05,60.60,61.05,-89.10,27.3
2026/04/15 16:13:09.91,IMU,-10.25,159.18,-1010.74,1.47,-3.34,14.34,60.30,61.50,-90.15,27.5
2026/04/15 16:13:10.01,IMU,-70.31,90.33,-1003.42,6.54,-1.32,7.61,60.60,60.30,-90.45,27.3
2026/04/15 16:13:10.11,IMU,-56.15,100.10,-1011.23,-4.21,6.32,-0.57,62.25,60.15,-89.25,26.9
2026/04/15 16:13:10.21,IMU,-6.84,110.35,-1010.74,0.03,7.24,-0.27,60.75,60.90,-89.55,27.0
2026/04/15 16:13:10.31,IMU,-0.49,120.12,-1028.81,2.50,3.78,1.27,60.15,60.15,-87.75,27.1
2026/04/15 16:13:10.41,IMU,7.32,129.39,-1008.30,1.93,-3.67,6.17,61.05,59.55,-89.85,27.3
2026/04/15 16:13:10.51,IMU,-6.35,96.19,-1007.81,3.65,-3.18,8.77,61.35,59.10,-90.15,27.3
