Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:29:53.00,IMU,30.27,-16.60,-1011.23,-0.20,1.60,-2.53,93.00,8.70,-55.50,24.6
2026/04/13 15:29:53.10,IMU,18.55,-31.25,-1021.48,1.70,0.47,2.32,93.15,9.30,-55.65,24.6
2026/04/13 15:29:53.20,IMU,23.93,-12.70,-1014.16,0.04,0.63,2.18,94.65,8.55,-54.60,24.5
2026/04/13 15:29:53.30,IMU,15.14,-29.30,-1007.32,1.37,1.72,-0.09,92.25,9.15,-54.75,24.5
2026/04/13 15:29:53.40,IMU,24.90,-16.60,-1013.67,-0.02,0.96,-1.02,93.45,9.15,-55.80,24.6
2026/04/13 15:29:53.50,IMU,19.04,-26.37,-1010.74,1.53,1.50,-0.97,92.70,9.15,-54.75,24.5
2026/04/13 15:29:53.60,IMU,14.16,-33.20,-950.68,5.43,4.64,-22.87,91.95,9.45,-55.20,24.5
2026/04/13 15:29:53.70,IMU,-62.99,-9.28,-1052.25,4.59,-0.14,-38.90,92.85,6.60,-54.90,24.9
2026/04/13 15:29:53.80,IMU,-62.01,-34.18,-1025.39,3.43,-0.27,-65.83,92.25,5.25,-57.00,24.7
2026/04/13 15:29:53.90,IMU,27.83,28.32,-1062.50,1.25,-2.34,-87.66,92.40,4.65,-56.40,24.8
2026/04/13 15:29:54.00,IMU,-58.59,0.98,-1029.79,0.71,-2.95,-99.97,90.30,3.15,-56.40,24.7
2026/04/13 15:29:54.10,IMU,-24.90,-0.98,-988.28,6.74,1.74,-105.56,90.15,1.05,-58.35,24.6
2026/04/13 15:29:54.20,IMU,60.55,27.34,-1021.97,4.71,-0.05,-92.40,87.30,-0.15,-59.70,24.7
2026/04/13 15:29:54.30,IMU,8.79,8.30,-1042.48,4.01,-0.51,-81.60,86.55,-1.20,-60.75,24.5
2026/04/13 15:29:54.40,IMU,27.83,-17.58,-993.65,5.88,-3.45,-87.49,84.75,-1.65,-60.00,24.7
2026/04/13 15:29:54.50,IMU,-29.30,-38.57,-996.58,-0.48,-1.34,-54.52,84.60,-2.55,-61.65,24.7
2026/04/13 15:29:54.60,IMU,61.04,-18.07,-1001.95,2.27,1.13,-64.41,81.75,-3.90,-62.85,24.7
2026/04/13 15:29:54.70,IMU,-23.44,-15.14,-1019.53,3.24,-0.37,-97.77,81.60,-4.50,-61.95,24.6
2026/04/13 15:29:54.80,IMU,-11.72,-2.93,-1029.79,3.40,-2.67,-118.60,80.85,-5.25,-62.70,24.5
2026/04/13 15:29:54.90,IMU,5.86,9.77,-979.98,1.79,3.55,-121.51,78.45,-6.30,-65.40,24.5
2026/04/13 15:29:55.00,IMU,-23.93,-1.46,-1017.58,9.11,0.62,-117.40,76.65,-3.90,-65.85,24.9
2026/04/13 15:29:55.10,IMU,108.89,-8.30,-1038.09,2.11,2.57,-53.64,72.75,-4.50,-65.55,24.7
2026/04/13 15:29:55.20,IMU,54.69,-21.97,-996.09,2.07,-5.87,-3.43,72.75,-2.25,-65.25,24.9
2026/04/13 15:29:55.30,IMU,14.65,-6.35,-1045.41,2.76,-0.34,0.62,71.55,-3.90,-66.45,24.9
2026/04/13 15:29:55.40,IMU,30.76,-15.63,-1004.39,0.24,1.18,0.60,72.60,-2.10,-66.45,24.5
2026/04/13 15:29:55.50,IMU,19.04,-4.88,-1015.63,2.56,2.02,-0.78,73.50,-3.75,-66.30,24.7
2026/04/13 15:29:55.60,IMU,10.74,-16.60,-1012.70,0.57,1.83,0.56,72.30,-3.90,-66.45,24.5
2026/04/13 15:29:55.71,IMU,-154.79,-37.60,-980.96,21.24,-53.22,-123.53,73.35,-3.90,-66.15,24.7
2026/04/13 15:29:55.81,IMU,70.31,-55.66,-943.36,-2.63,-1.42,-53.24,73.50,-1.80,-66.75,24.8
2026/04/13 15:29:55.91,IMU,-145.02,-58.11,-1018.55,-4.99,-2.73,-64.96,73.95,0.00,-67.80,24.7
2026/04/13 15:29:56.01,IMU,-94.24,-33.69,-952.64,-8.02,7.56,-74.22,72.75,3.00,-67.80,24.7
2026/04/13 15:29:56.11,IMU,2.93,-43.95,-995.12,7.35,7.93,-60.52,70.65,5.70,-67.80,24.5
2026/04/13 15:29:56.21,IMU,-12.21,-33.20,-1086.43,4.05,-14.93,-69.52,68.70,7.95,-68.10,24.9
2026/04/13 15:29:56.31,IMU,-13.18,-34.18,-1054.20,-1.85,-3.55,-58.40,70.35,10.50,-68.70,25.0
2026/04/13 15:29:56.41,IMU,-76.66,-40.53,-1000.49,-2.50,-2.89,-63.50,70.80,10.80,-67.95,24.9
2026/04/13 15:29:56.51,IMU,18.07,-51.27,-970.21,1.02,-18.40,-102.23,72.60,16.95,-68.25,24.7
2026/04/13 15:29:56.61,IMU,12.70,-37.11,-1029.79,0.80,-1.46,-67.73,74.40,18.90,-67.20,24.9
2026/04/13 15:29:56.71,IMU,-54.69,-11.23,-1011.23,2.76,4.05,-74.34,75.60,20.40,-67.20,24.7
