Timestamp,Sensor,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp
2026/04/13 15:29:53.00,IMU,-26.37,13.18,-1013.18,2.05,-1.31,1.59,-8.55,-35.70,-36.15,25.2
2026/04/13 15:29:53.10,IMU,-24.41,21.97,-1019.53,1.46,2.66,2.22,-7.95,-36.60,-37.50,25.3
2026/04/13 15:29:53.20,IMU,-29.30,22.95,-1014.16,1.28,-0.47,1.11,-6.90,-36.60,-37.50,25.2
2026/04/13 15:29:53.30,IMU,-21.48,17.09,-1022.46,1.51,3.14,-0.60,-6.60,-35.40,-36.45,25.2
2026/04/13 15:29:53.40,IMU,-23.93,15.14,-1002.93,0.91,0.01,-0.06,-7.50,-36.75,-37.65,25.2
2026/04/13 15:29:53.50,IMU,-20.02,10.25,-1003.42,1.31,2.05,0.66,-9.00,-35.70,-36.90,25.4
2026/04/13 15:29:53.60,IMU,-24.41,16.11,-1018.55,1.28,2.47,1.96,-7.50,-36.00,-37.35,25.2
2026/04/13 15:29:53.70,IMU,-18.55,16.60,-1019.04,1.15,1.64,0.74,-7.35,-34.65,-37.50,25.3
2026/04/13 15:29:53.80,IMU,-25.88,25.39,-1006.35,1.26,-0.30,1.14,-8.25,-36.00,-37.65,25.3
2026/04/13 15:29:53.90,IMU,-33.69,14.65,-1010.74,0.92,1.78,-1.18,-8.25,-36.45,-36.60,25.2
2026/04/13 15:29:54.00,IMU,-24.41,28.81,-1012.70,1.95,1.01,-0.98,-9.30,-37.50,-37.95,25.3
2026/04/13 15:29:54.10,IMU,-21.48,11.23,-1010.74,1.85,0.75,-0.96,-6.75,-35.25,-36.60,25.3
2026/04/13 15:29:54.20,IMU,-20.51,20.02,-1021.97,0.37,1.18,0.70,-6.30,-36.75,-38.40,25.1
2026/04/13 15:29:54.30,IMU,-26.37,26.86,-1022.95,1.56,0.80,-1.50,-5.70,-35.25,-36.60,25.4
2026/04/13 15:29:54.40,IMU,-29.30,17.09,-1020.51,1.26,1.31,0.52,-6.00,-36.00,-37.35,25.2
2026/04/13 15:29:54.50,IMU,-20.51,20.02,-1009.28,1.49,2.37,2.16,-7.35,-37.05,-37.05,25.3
2026/04/13 15:29:54.60,IMU,-21.00,17.09,-1003.42,1.30,2.92,-2.66,-7.05,-36.45,-37.35,25.3
2026/04/13 15:29:54.70,IMU,-14.65,18.55,-1017.09,1.13,2.40,-1.60,-6.60,-36.15,-37.50,25.2
2026/04/13 15:29:54.80,IMU,-27.34,27.83,-1021.97,1.02,0.34,-0.63,-7.50,-34.50,-37.35,25.4
2026/04/13 15:29:54.90,IMU,-32.71,20.02,-1013.67,1.79,-0.15,1.62,-5.85,-36.60,-37.50,24.9
2026/04/13 15:29:55.00,IMU,-22.46,18.55,-1022.46,1.05,1.45,1.83,-8.25,-36.00,-35.85,25.3
2026/04/13 15:29:55.11,IMU,-18.55,24.90,-1018.07,1.95,0.47,-1.92,-6.75,-36.75,-37.35,25.2
2026/04/13 15:29:55.21,IMU,-35.16,14.16,-1019.04,3.00,2.12,-0.22,-7.50,-35.70,-37.35,25.0
2026/04/13 15:29:55.31,IMU,-31.25,21.00,-1012.70,2.31,1.98,-1.57,-6.30,-36.45,-37.35,25.4
2026/04/13 15:29:55.41,IMU,-22.95,23.44,-1021.48,0.99,3.21,-0.21,-7.35,-37.35,-37.80,25.4
2026/04/13 15:29:55.51,IMU,-14.65,18.07,-1023.44,0.27,1.66,2.04,-7.80,-37.50,-37.65,25.3
2026/04/13 15:29:55.61,IMU,-19.53,8.30,-1020.51,1.85,0.25,1.85,-6.90,-35.85,-37.50,25.3
2026/04/13 15:29:55.71,IMU,-28.32,8.30,-1013.18,0.92,3.68,-1.10,-6.60,-37.05,-36.75,25.6
2026/04/13 15:29:55.81,IMU,-21.00,9.28,-1017.58,1.22,0.88,1.12,-7.50,-37.50,-37.35,25.2
2026/04/13 15:29:55.91,IMU,-44.92,21.97,-1010.74,2.02,0.85,0.70,-5.85,-35.10,-36.45,25.1
2026/04/13 15:29:56.01,IMU,-19.04,14.16,-1015.63,0.11,2.81,-0.34,-7.80,-36.45,-37.35,25.3
2026/04/13 15:29:56.11,IMU,-34.18,5.37,-1020.02,2.56,-1.58,1.04,-8.40,-35.85,-37.80,25.3
2026/04/13 15:29:56.21,IMU,-31.74,22.46,-1026.37,-0.50,0.50,-0.76,-7.50,-35.70,-36.90,25.1
2026/04/13 15:29:56.31,IMU,-21.00,15.63,-1020.02,-0.21,1.95,-0.39,-7.35,-35.40,-36.75,24.9
2026/04/13 15:29:56.41,IMU,-25.88,14.65,-1006.84,1.58,-0.95,2.98,-7.35,-35.40,-37.05,25.2
2026/04/13 15:29:56.51,IMU,-19.04,20.02,-1016.11,2.25,-0.28,1.98,-7.65,-36.15,-37.50,25.3
2026/04/13 15:29:56.61,IMU,-19.04,24.90,-1030.76,0.59,-0.57,1.18,-7.65,-36.15,-37.05,25.3
2026/04/13 15:29:56.71,IMU,-20.51,17.58,-1019.04,1.45,1.32,-1.24,-8.25,-36.00,-36.60,25.3
2026/04/13 15:29:56.81,IMU,-41.50,26.37,-1017.58,1.71,-0.44,-0.40,-6.90,-36.15,-36.75,25.1
2026/04/13 15:29:56.91,IMU,-23.44,21.97,-1018.07,-0.08,-0.05,0.03,-6.75,-36.45,-35.85,25.4
2026/04/13 15:29:57.01,IMU,-33.20,18.07,-1022.95,1.33,2.29,0.51,-7.35,-35.10,-35.70,25.4
2026/04/13 15:29:57.11,IMU,-21.00,34.18,-999.51,1.10,2.36,-0.07,-7.05,-36.00,-36.90,25.3
2026/04/13 15:29:57.21,IMU,-37.11,14.16,-1014.65,2.97,0.77,1.66,-7.50,-36.45,-37.35,25.2
2026/04/13 15:29:57.31,IMU,-17.09,5.86,-1016.11,2.05,0.45,0.05,-6.30,-35.25,-37.95,25.0
2026/04/13 15:29:57.41,IMU,-35.16,18.55,-1012.70,2.77,-0.57,-1.14,-7.95,-36.60,-37.05,25.3
2026/04/13 15:29:57.51,IMU,-37.60,15.63,-1018.55,3.32,2.38,-2.07,-6.90,-36.15,-37.80,25.3
2026/04/13 15:29:57.61,IMU,-21.00,20.02,-1030.76,0.96,1.96,1.05,-5.70,-35.70,-37.65,25.2
2026/04/13 15:29:57.71,IMU,-22.95,31.25,-1016.11,2.49,0.85,1.74,-8.40,-36.60,-36.45,25.3
2026/04/13 15:29:57.81,IMU,-26.86,27.83,-1032.23,1.70,0.69,2.09,-8.25,-37.20,-38.40,25.2
2026/04/13 15:29:57.91,IMU,-11.72,8.79,-1004.88,1.60,2.67,-0.29,-6.60,-35.40,-35.25,25.4
2026/04/13 15:29:58.01,IMU,-11.72,26.86,-1016.60,-0.85,1.39,-0.97,-7.05,-36.00,-37.35,25.4
2026/04/13 15:29:58.11,IMU,-28.32,25.88,-1018.07,1.31,0.95,-0.34,-8.55,-35.70,-38.40,25.2
2026/04/13 15:29:58.21,IMU,-25.39,16.11,-1019.04,-0.21,2.90,-0.73,-8.40,-36.15,-38.55,24.9
2026/04/13 15:29:58.31,IMU,-11.72,7.81,-1024.90,0.80,1.28,1.99,-8.55,-37.50,-36.90,25.2
2026/04/13 15:29:58.41,IMU,-27.83,23.93,-1012.70,1.79,2.94,-0.11,-7.50,-36.75,-37.65,25.3
2026/04/13 15:29:58.51,IMU,-14.16,19.53,-1022.95,0.25,1.63,1.06,-6.90,-36.60,-37.50,25.2
2026/04/13 15:29:58.61,IMU,-35.16,10.74,-1022.46,0.89,-1.42,3.21,-7.05,-36.00,-36.60,25.0
2026/04/13 15:29:58.71,IMU,-22.46,2.44,-1025.39,2.72,-0.73,3.34,-6.00,-36.45,-36.60,25.3
2026/04/13 15:29:58.81,IMU,-24.41,19.53,-1025.88,1.75,-0.21,-0.84,-9.00,-36.00,-37.35,25.4
2026/04/13 15:29:58.91,IMU,-18.55,12.21,-1024.41,1.28,-0.91,1.28,-8.25,-35.25,-37.65,25.4
2026/04/13 15:29:59.01,IMU,-20.02,23.44,-1002.93,1.73,2.16,0.45,-6.15,-35.85,-36.00,25.4
2026/04/13 15:29:59.11,IMU,-27.83,21.00,-1012.21,2.53,1.34,0.21,-6.90,-38.55,-34.65,25.2
2026/04/13 15:29:59.21,IMU,-17.58,18.55,-1014.16,1.79,0.66,0.20,-6.15,-35.85,-37.50,25.2
2026/04/13 15:29:59.31,IMU,-23.44,22.46,-1024.90,1.82,1.89,-0.35,-7.50,-35.70,-37.35,25.3
2026/04/13 15:29:59.41,IMU,-11.72,17.58,-1029.79,2.31,1.86,-0.86,-8.25,-35.25,-37.95,25.4
2026/04/13 15:29:59.51,IMU,-29.79,14.16,-1017.58,1.18,2.04,2.76,-7.50,-36.00,-37.95,25.3
2026/04/13 15:29:59.61,IMU,-14.65,15.14,-1015.14,2.41,3.22,0.47,-7.05,-34.95,-37.35,25.4
2026/04/13 15:29:59.71,IMU,-28.81,2.44,-1020.02,-1.42,3.44,-1.29,-7.05,-34.95,-37.35,25.2
2026/04/13 15:29:59.81,IMU,-34.18,5.37,-1009.28,2.47,1.96,3.40,-6.75,-36.45,-37.35,25.5
2026/04/13 15:29:59.91,IMU,-19.04,16.60,-1016.60,2.11,0.37,0.62,-7.95,-37.35,-37.80,25.4
2026/04/13 15:30:00.01,IMU,-17.58,8.79,-1022.46,2.79,0.17,0.48,-8.55,-36.75,-37.65,25.4
2026/04/13 15:30:00.11,IMU,-24.90,10.74,-1019.04,3.55,-0.29,0.89,-7.65,-37.05,-37.50,25.2
2026/04/13 15:30:00.21,IMU,-33.69,31.74,-1021.00,2.69,-0.02,-0.21,-7.80,-36.00,-36.15,25.5
2026/04/13 15:30:00.31,IMU,-20.51,16.11,-1014.65,2.09,-0.53,0.00,-6.75,-36.00,-37.35,25.3
2026/04/13 15:30:00.41,IMU,-34.18,24.41,-1018.07,2.45,0.97,-0.11,-6.75,-37.20,-37.95,25.3
2026/04/13 15:30:00.51,IMU,-33.69,15.63,-1009.28,0.60,1.05,-1.64,-7.95,-37.05,-38.25,25.4
2026/04/13 15:30:00.61,IMU,-18.55,14.65,-1005.86,0.88,-0.60,-1.54,-8.25,-36.45,-37.65,25.4
2026/04/13 15:30:00.72,IMU,-15.14,11.23,-1003.42,3.58,-0.58,0.95,-7.65,-36.60,-36.45,25.3
2026/04/13 15:30:00.82,IMU,-18.07,11.72,-1007.32,0.41,1.18,-0.97,-6.90,-36.60,-37.05,25.3
2026/04/13 15:30:00.92,IMU,-23.93,7.32,-1024.41,0.44,-0.31,2.23,-6.60,-35.40,-37.50,25.6
2026/04/13 15:30:01.02,IMU,-27.83,18.07,-1016.60,0.04,1.47,0.35,-8.25,-37.20,-37.65,25.3
2026/04/13 15:30:01.12,IMU,-21.48,23.93,-1006.35,1.04,2.20,0.08,-6.30,-36.75,-36.60,25.3
2026/04/13 15:30:01.22,IMU,-31.74,26.37,-1024.90,2.56,-0.41,-0.06,-5.25,-35.70,-36.15,25.4
2026/04/13 15:30:01.32,IMU,-24.41,17.09,-1010.25,2.85,0.79,0.18,-7.35,-38.10,-38.25,25.3
2026/04/13 15:30:01.42,IMU,-22.95,12.21,-1010.25,2.56,0.49,1.43,-8.55,-36.00,-37.65,25.5
2026/04/13 15:30:01.52,IMU,-25.39,13.67,-1015.63,0.67,0.65,-1.15,-6.75,-36.45,-36.15,25.4
2026/04/13 15:30:01.62,IMU,-17.58,13.18,-1017.09,1.09,2.12,-0.45,-7.65,-36.15,-37.05,25.4
2026/04/13 15:30:01.72,IMU,-21.00,12.70,-1023.93,1.43,2.56,2.82,-9.00,-36.45,-36.60,25.3
2026/04/13 15:30:01.82,IMU,-33.20,27.34,-1018.07,2.63,0.05,1.24,-6.00,-35.25,-37.95,25.6
2026/04/13 15:30:01.92,IMU,0.49,22.46,-1010.25,1.24,1.36,1.30,-9.15,-35.85,-37.05,25.4
2026/04/13 15:30:02.02,IMU,-22.46,21.97,-1012.21,1.35,0.73,0.28,-7.95,-36.60,-36.75,25.4
2026/04/13 15:30:02.12,IMU,-31.74,16.11,-1014.65,2.34,2.21,-0.37,-7.80,-36.75,-36.90,25.4
2026/04/13 15:30:02.22,IMU,-19.53,20.02,-1012.70,0.47,-1.08,-1.97,-8.25,-35.70,-38.70,25.4
2026/04/13 15:30:02.32,IMU,-27.83,-0.49,-1018.55,0.55,0.96,-1.27,-7.35,-35.85,-36.75,25.6
